Lokasi,Luas Tanah,Luas Bangunan,Carport,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Harga Rumah
Premier,144.0,200.0,1,6,4,2200.0
Premier,105.0,120.0,1,0,0,1200.0
Premier,160.0,215.0,6,4,0,6800.0
Premier,112.0,156.0,4,4,0,4600.0
Premier,84.0,87.0,3,2,0,2300.0
Premier,112.0,156.0,4,4,0,4600.0
Premier,70.0,42.0,1,2,0,1060.0
Premier,84.0,87.0,3,2,0,2300.0
Premier,478.0,170.0,4,3,0,5900.0
Premier,160.0,215.0,5,4,0,6800.0
Premier,68.0,100.0,2,0,0,400.0
Premier,112.0,159.0,1,0,0,1500.0
Premier,90.0,75.0,2,0,0,1690.0
Premier,90.0,75.0,2,0,0,1690.0
Premier,105.0,108.0,2,4,0,3400.0
Premier,157.0,280.0,2,0,0,1500.0
Premier,105.0,108.0,2,4,0,3400.0
Premier,105.0,71.0,2,0,0,1500.0
Premier,160.0,216.0,4,4,0,3760.0
Premier,135.0,400.0,5,0,0,3320.0
Premier,78.0,34.0,1,0,0,790.0
Premier,670.0,200.0,2,0,0,2100.0
Premier,72.0,48.0,1,0,0,940.0
Premier,323.0,130.0,1,0,0,2210.0
Premier,52.0,62.0,2,0,0,840.0
Premier,90.0,120.0,3,0,0,1040.0
Premier,140.0,105.0,2,0,0,970.0
Premier,84.0,60.0,2,0,0,760.0
Premier,84.0,86.0,2,0,0,2160.0
Premier,190.0,100.0,2,0,0,1330.0
Premier,104.0,82.0,2,0,0,1050.0
Premier,217.0,400.0,5,7,0,1990.0
Premier,60.0,50.0,1,0,0,670.0
Premier,45.0,70.0,2,0,0,640.0
Premier,66.0,55.0,1,0,0,750.0
Premier,60.0,73.0,2,0,0,670.0
Premier,84.0,126.0,2,0,0,1330.0
Premier,82.0,126.0,2,0,0,1620.0
Premier,60.0,45.0,1,0,0,610.0
Premier,90.0,70.0,2,0,0,860.0
Premier,60.0,45.0,1,0,0,700.0
Premier,190.0,100.0,2,0,0,1330.0
Premier,104.0,82.0,2,0,0,1050.0
Premier,60.0,45.0,1,0,0,610.0
Premier,104.0,82.0,2,0,0,1050.0
Premier,104.0,85.0,1,0,0,899.0
Premier,385.0,250.0,3,4,0,5500.0
Premier,120.0,145.0,2,0,0,2200.0
Premier,136.0,125.0,2,2,0,2450.0
Premier,91.0,65.0,2,0,0,1700.0
Premier,130.0,177.0,2,5,4,3750.0
Premier,72.0,89.0,2,2,0,2000.0
Premier,60.0,31.0,1,2,0,890.0
Premier,390.0,548.0,7,4,0,8000.0
Premier,75.0,90.0,2,3,0,1000.0
Premier,127.0,127.0,0,4,2,1750.0
Premier,135.0,200.0,3,2,0,1900.0
Premier,114.0,80.0,1,3,3,1150.0
Premier,84.0,70.0,2,0,0,930.0
Premier,77.0,50.0,1,0,0,860.0
Premier,78.0,78.0,1,0,0,610.0
Premier,60.0,80.0,2,0,0,630.0
Premier,99.0,120.0,2,0,0,890.0
Premier,60.0,45.0,1,0,0,500.0
Premier,75.0,100.0,2,0,0,1110.0
Premier,90.0,120.0,3,0,0,1040.0
Premier,60.0,45.0,1,0,0,520.0
Premier,84.0,60.0,2,0,0,940.0
Premier,74.0,50.0,1,0,0,670.0
Premier,84.0,126.0,2,0,0,1330.0
Premier,81.0,81.0,1,0,0,700.0
Premier,300.0,300.0,3,0,0,2500.0
Premier,126.0,116.0,1,0,0,875.0
Premier,121.0,100.0,2,5,3,550.0
Premier,45.0,70.0,2,0,0,640.0
Premier,66.0,55.0,1,0,0,750.0
Premier,84.0,126.0,2,0,0,1220.0
Premier,60.0,45.0,1,0,0,610.0
Premier,90.0,70.0,2,0,0,860.0
Premier,90.0,110.0,2,0,0,1110.0
Premier,104.0,150.0,2,0,0,560.0
Premier,80.0,117.0,3,0,0,1440.0
